,vec0,vec1,vec2,vec3,vec4,vec5,vec6,vec7,vec8,vec9,vec10,vec11,vec12,vec13,vec14,vec15,vec16,vec17,vec18,vec19
0,-0.039053,0.240540,-0.735286,0.411377,0.756109,-0.398934,0.194233,0.467511,-0.002301,-0.841675,-0.311647,0.161327,0.741147,0.111963,0.171056,0.151609,0.487767,0.899534,-0.961343,-0.208528
1,-0.054463,-0.135035,-0.151718,0.322668,0.335277,-0.218536,0.397984,0.121622,0.134939,-0.290965,-0.193388,0.072978,0.463039,-0.004008,0.127975,0.089413,0.313066,0.752294,-0.479115,0.022753
2,-0.046409,0.004176,0.298407,0.329108,-0.077165,-0.056822,0.283428,0.072652,-0.290909,0.065330,0.120318,0.004297,0.175930,-0.105879,-0.074511,0.052591,0.038811,0.428068,-0.182729,0.027216
3,-0.006138,0.255764,-0.870455,0.272018,0.779414,-0.302333,0.022755,0.313924,-0.013201,-1.062762,-0.370367,-0.102783,0.840513,0.138109,0.206020,0.022183,0.262237,0.669685,-0.672079,-0.304733
4,0.059922,0.000123,-0.034856,0.303619,0.217429,-0.159060,0.238236,0.175461,-0.099081,-0.173840,-0.019691,0.078970,0.257692,-0.106484,0.041272,0.171528,0.300424,0.455197,-0.352401,-0.121786
5,-0.008190,0.026585,-0.108021,0.305236,0.239447,-0.158730,0.222361,0.074994,-0.003980,-0.266180,-0.130761,-0.087571,0.450119,-0.040978,0.015201,0.107926,0.202063,0.526255,-0.303021,-0.107046
6,-0.076030,-0.162113,-0.260411,0.524366,0.487525,-0.404684,0.512143,0.290374,0.160246,-0.514669,-0.223244,0.126906,0.619033,-0.065456,0.045505,0.264907,0.456502,1.185670,-0.818449,-0.061530
7,0.022568,0.328719,-0.340155,0.045356,0.347143,-0.141317,-0.117623,0.124780,0.000163,-0.534650,-0.212033,0.075300,0.214810,0.144672,0.131970,-0.032151,0.177494,0.190957,-0.239851,-0.112734
8,-0.027169,0.000610,-0.046640,0.246012,0.130674,-0.098916,0.153234,0.136318,-0.035301,-0.061465,-0.040138,0.067403,0.149384,-0.084653,0.041481,0.196609,0.232011,0.440909,-0.332600,-0.109887
9,0.009510,-0.026518,-0.151876,0.322582,0.277656,-0.269545,0.258982,0.216418,0.017049,-0.273116,-0.120016,0.142008,0.320968,-0.049296,-0.003512,0.127697,0.286393,0.593002,-0.524112,-0.078164
10,0.040154,0.053333,-0.400795,-0.035801,0.028173,-0.048792,0.147049,0.392096,0.188508,-0.484713,0.002140,0.202161,0.295937,0.126206,0.010685,0.283876,0.079628,0.372303,-0.397281,-0.140515
11,0.016648,0.076787,-0.201475,0.631765,0.539518,-0.345237,0.535988,0.491510,0.022005,-0.539077,-0.262637,0.063347,0.717438,-0.143222,0.172237,0.239057,0.535888,1.050012,-1.025443,-0.077469
12,-0.048661,-0.049182,0.167995,0.691912,0.208329,-0.098968,0.457085,0.113879,-0.097371,-0.230356,-0.137112,0.040854,0.591732,-0.138501,0.114590,0.037612,0.317777,0.858862,-0.420933,0.085197
13,-0.048970,-0.000535,-0.115961,-0.019789,0.429492,-0.081303,0.556031,-0.077966,0.087493,-0.582914,-0.220809,-0.083216,0.230266,-0.032379,-0.198444,0.070579,0.448145,0.567013,-0.208249,-0.119112
14,-0.037511,0.007209,-0.203309,0.510390,0.423061,-0.300727,0.270738,0.090093,-0.063486,-0.404132,-0.136643,0.138117,0.518980,-0.198038,-0.013945,0.152673,0.233530,0.534825,-0.573247,-0.124235
15,-0.068366,0.011975,0.003025,0.367957,0.239392,-0.315529,0.149794,0.065873,-0.175569,0.170241,0.025762,0.175431,0.194636,-0.235985,-0.086018,0.215986,0.130247,0.549182,-0.615019,-0.117699
16,-0.054888,0.322796,-0.393252,0.170440,0.584875,-0.236630,0.132372,0.217017,-0.072938,-0.702751,-0.173885,-0.053547,0.579707,0.096171,-0.010338,-0.048060,0.408706,0.757116,-0.474611,-0.165297
17,0.040378,-0.087805,-0.060248,0.287578,0.224835,-0.086654,0.343287,0.184765,0.075023,-0.224765,-0.160946,0.034174,0.271416,-0.035866,0.023302,0.154144,0.294578,0.423109,-0.391015,-0.024180
18,-0.045763,-0.152198,0.067646,0.481748,0.185333,-0.232569,0.160015,0.234532,-0.171638,-0.133346,-0.031084,0.318170,0.214610,-0.277768,-0.151117,0.257963,0.146293,0.422041,-0.521714,-0.030066
19,-0.073336,0.137341,0.090577,0.347769,0.096065,-0.179825,0.013515,0.006375,-0.084537,-0.021083,-0.003393,-0.065537,0.334050,-0.208901,0.094663,0.062563,0.241957,0.172776,-0.129178,-0.013485
20,-0.094100,-0.024163,-0.098042,0.322743,0.260768,-0.112669,0.336121,0.126519,0.118096,-0.160478,-0.177964,-0.004982,0.335166,-0.012550,0.040384,0.039097,0.273332,0.564886,-0.417096,0.071849
21,-0.012350,-0.169574,-0.154143,0.346533,0.245210,-0.050937,0.312818,0.080246,0.102092,-0.260485,-0.247890,0.033201,0.458306,0.037077,0.113205,0.031036,0.184380,0.474317,-0.411970,0.056895
22,-0.068201,0.009142,-0.124112,0.520992,0.293207,-0.444475,0.251010,0.174277,-0.143865,-0.261307,-0.017898,0.215995,0.408782,-0.197082,-0.010525,0.311781,0.342938,0.761179,-0.649038,-0.298633
23,0.139278,-0.386005,-0.467025,0.639798,0.589097,-0.848314,0.430430,0.273680,-0.213074,-0.490764,-0.067402,0.515599,0.559556,-0.312474,0.081576,0.638076,0.540277,0.962658,-1.062862,-0.329953
24,-0.004005,-0.032419,-0.102864,0.209799,0.128719,-0.266501,0.090273,0.066683,0.000100,-0.164700,-0.010965,0.132811,0.291065,-0.080417,-0.016123,0.136687,0.048912,0.375087,-0.402379,-0.048163
25,0.176096,0.074418,0.055865,0.142539,0.142398,0.006987,0.142911,0.198929,-0.073262,-0.018968,0.053069,0.031150,-0.040486,-0.141079,0.055539,0.116059,0.250958,0.167320,-0.220333,-0.055312
26,-0.191185,-0.224087,-0.340255,0.136820,0.082584,-0.127126,0.314342,0.523545,0.245920,-0.550558,-0.145983,0.142341,0.702502,-0.000929,0.192295,0.306306,0.467872,0.800357,-0.657095,0.084346
27,0.344785,-0.053045,0.086759,0.087542,0.294512,0.223902,0.318436,0.160665,0.128545,0.185112,-0.202611,0.008345,0.006015,-0.206314,0.236193,0.062401,0.444937,0.003475,-0.287528,0.123509
28,0.322602,0.055135,0.059993,0.183487,0.132945,0.058498,0.114235,0.237674,-0.082932,-0.012114,0.060871,0.021437,-0.172230,-0.161793,0.014047,0.227209,0.340888,0.182064,-0.244890,-0.072849
29,0.317380,0.071843,0.028386,0.236672,0.237371,-0.008284,0.243522,0.278798,-0.083774,-0.110029,0.050598,0.045140,-0.042098,-0.238417,0.106080,0.231493,0.372600,0.274654,-0.375609,-0.099534
30,-0.128731,0.002298,-0.103595,0.503813,0.093896,-0.225206,0.129219,0.068578,-0.078949,-0.036753,-0.121709,0.095830,0.429567,-0.194888,0.164773,0.134000,0.250098,0.483228,-0.441188,0.026286
31,-0.061516,-0.006762,-0.104902,0.530695,0.287343,-0.249834,0.358340,0.188955,-0.015096,-0.249926,-0.125890,0.083103,0.489962,-0.145111,0.072174,0.160207,0.405432,0.758773,-0.558765,-0.042069
32,0.372744,0.092213,0.031250,0.363463,0.365261,0.014918,0.300566,0.401475,-0.089546,-0.211512,0.002371,0.077952,-0.030203,-0.296572,0.113080,0.270792,0.559468,0.460376,-0.545935,-0.129493
